scenario,strategy,pool_size,run,elapsed_ms,matches,consulted_providers
NO-IO,SEQUENTIAL,N/A,1,0.153,7,100
NO-IO,SEQUENTIAL,N/A,2,0.032,7,100
NO-IO,SEQUENTIAL,N/A,3,0.186,7,100
NO-IO,SEQUENTIAL,N/A,4,0.015,7,100
NO-IO,SEQUENTIAL,N/A,5,0.016,7,100
NO-IO,FIXED,2,1,0.407,7,100
NO-IO,FIXED,2,2,0.362,7,100
NO-IO,FIXED,2,3,0.269,7,100
NO-IO,FIXED,2,4,0.257,7,100
NO-IO,FIXED,2,5,0.255,7,100
NO-IO,FIXED,4,1,0.353,7,100
NO-IO,FIXED,4,2,0.436,7,100
NO-IO,FIXED,4,3,0.359,7,100
NO-IO,FIXED,4,4,0.336,7,100
NO-IO,FIXED,4,5,0.340,7,100
NO-IO,FIXED,8,1,0.716,7,100
NO-IO,FIXED,8,2,0.740,7,100
NO-IO,FIXED,8,3,0.550,7,100
NO-IO,FIXED,8,4,0.644,7,100
NO-IO,FIXED,8,5,0.680,7,100
NO-IO,VIRTUAL,N/A,1,0.983,7,100
NO-IO,VIRTUAL,N/A,2,0.843,7,100
NO-IO,VIRTUAL,N/A,3,0.862,7,100
NO-IO,VIRTUAL,N/A,4,0.978,7,100
NO-IO,VIRTUAL,N/A,5,0.701,7,100
IO,SEQUENTIAL,N/A,1,10998.114,7,100
IO,SEQUENTIAL,N/A,2,11022.450,7,100
IO,SEQUENTIAL,N/A,3,11008.275,7,100
IO,SEQUENTIAL,N/A,4,11417.645,7,100
IO,SEQUENTIAL,N/A,5,11560.252,7,100
IO,FIXED,2,1,5525.075,7,100
IO,FIXED,2,2,5520.458,7,100
IO,FIXED,2,3,5515.921,7,100
IO,FIXED,2,4,5518.621,7,100
IO,FIXED,2,5,5627.123,7,100
IO,FIXED,4,1,2773.522,7,100
IO,FIXED,4,2,2774.262,7,100
IO,FIXED,4,3,2777.763,7,100
IO,FIXED,4,4,2771.338,7,100
IO,FIXED,4,5,2770.816,7,100
IO,FIXED,8,1,1470.862,7,100
IO,FIXED,8,2,1470.578,7,100
IO,FIXED,8,3,1473.455,7,100
IO,FIXED,8,4,1471.079,7,100
IO,FIXED,8,5,1472.967,7,100
IO,VIRTUAL,N/A,1,203.248,7,100
IO,VIRTUAL,N/A,2,200.282,7,100
IO,VIRTUAL,N/A,3,201.030,7,100
IO,VIRTUAL,N/A,4,202.059,7,100
IO,VIRTUAL,N/A,5,199.544,7,100
